17,Shirley Setia,1993,"['Krishna Vrinda Vihari', 'Maska', 'Nikamma', '5 Weddings']","['Music Artist', 'Reparto', 'Música']","['South Indian International Movie Awards Nom', 'IWM Digital Awards Gan', 'Bollywood Life Awards Nom', 'Masala! Awards Nom']"
18,Samir Soni,1968,"['Parichay: Nayee Zindagi Kay Sapno Ka', '2011–2013 • 70 episodios', '1998', '2006', '2008']",['Reparto'],"['Zee Cine Awards Nom', 'Indian Television Academy Awards India Gan', 'Gold Awards Gan', 'Indian Telly Awards Gan', 'Colors Golden Petal Awards Gan']"
19,Abhimanyu Singh,1979,"['Gulaal', 'Sooryavanshi', 'Lakshya', 'Theeran Adhigaaram Ondru']","['Reparto', 'Guion']","['Awards of the International Indian Film Academy Nom', 'National Film Awards India Gan', 'Filmfare Awards South Nom', 'South Indian International Movie Awards Nom', 'Stardust Awards India Nom']"
20,Takumi Saitô,1981,"['Blank 13', 'Shin Godzilla', '13 asesinos', 'Shin Ultraman']","['Reparto', 'Dirección', 'Guion']","['Shanghai International Film Festival Gan', 'International Film Festival of India Nom', 'Hong Kong Asian Film Festival Nom', 'Pacific Meridian International Film Festival of Asia Pacific Countries Gan', 'Asian Academy Creative Awards Gan']"
21,Masami Nagasawa,1987,"['Gintama', 'Mazâ', 'Sekai no chûshin de, ai o sakebu', 'Sanpo suru shinryakusha']",['Reparto'],"['Hochi Film Awards Nom', 'Awards of the Japanese Academy Gan', 'Mainichi Film Concours Nom', 'Blue Ribbon Awards Gan', 'Yokohama Film Festival Gan']"
22,Hidetoshi Nishijima,1971,"['Drive My Car', 'El viento se levanta', 'Ningen gôkaku', 'Tounan kadobeya nikai no onna']","['Reparto', 'Banda sonora']","['Boston Society of Film Critics Awards Gan', 'Chicago Film Critics Association Awards Nom', 'Awards of the Japanese Academy Gan', 'Japanese Professional Movie Awards Gan', 'National Society of Film Critics Awards USA Gan']"
23,Reece Noi,1988,"['Así nos ven', '2019 • 1 episodio', 'Mossador', 'Miniserie de TV', '7,1']","['Reparto', 'Guion']","['Manhattan Short Film Festival Gan', 'Rob Knox London Film Festival Gan', 'Contribuir a esta página ir ']"
24,Susan Sullivan,1942,"['Dharma y Greg', '1997–2002 • 119 episodios', '1997', 'Maggie GiobertiMaggie Channing', 'Serie de TV']","['Reparto', 'Banda sonora']","['Primetime Emmy Awards Nom', 'Golden Globes USA Nom', 'Screen Actors Guild Awards Nom', 'Soap Opera Digest Awards Nom', 'Viewers for Quality Television Awards Nom']"
25,Madeline Zima,1985,"['Californication', '2007–2011 • 28 episodios', 'Tracey', 'Serie de TV', '6,8']","['Reparto', 'Guion', 'Dirección']","['Young Artist Awards Nom', 'YoungStar Awards Nom', 'Madrid International Film Festival ES Nom', 'LA Femme International Film Festival Gan']"
26,Casey Adams,1981,"['La lista final', '2022 • 1 episodio', '2021', '2019', '2018']","['Especialistas', 'Reparto']","['Screen Actors Guild Awards Nom', 'Contribuir a esta página ir ']"
27,Mithun Chakraborty,1950,"['The Tashkent Files', 'OMG: Oh My God!', 'Housefull 2', 'Guru']","['Reparto', 'Música', 'Equipos adicionales']","['Filmfare Awards Nom', 'Awards of the International Indian Film Academy Nom', 'Zee Cine Awards Nom', 'National Film Awards India Gan', 'Apsara Film Producers Guild Awards Nom']"
28,Anupam Kher,1955,"['Hotel Bombay', 'The Accidental Prime Minister', 'Saaransh', 'Khosla Ka Ghosla!']","['Reparto', 'Producción', 'Música']","['BAFTA Awards Nom', 'Filmfare Awards Nom', 'Gotham Awards Nom', 'Awards of the International Indian Film Academy Nom', 'Zee Cine Awards Nom']"
29,Darshan Kumaar,1986,"['NH10', 'Toofaan', 'The Family Man', '2019–2021 • 14 episodios', '2022']",['Reparto'],"['Filmfare Awards Nom', 'Awards of the International Indian Film Academy Gan', 'Zee Cine Awards Nom', 'Apsara Film Producers Guild Awards Nom', 'Stardust Awards India Gan']"
30,Pallavi Joshi,1969,"['The Tashkent Files', 'The Kashmir Files', 'Andhaa Yudh', 'Justujoo']","['Producción', 'Reparto', 'Guion']","['Filmfare Awards Nom', 'National Film Awards India Gan', 'Indian Television Academy Awards India Nom', 'Indian Telly Awards Nom', 'V Shantaram Awards Nom']"
31,Chinmay Mandlekar,1979,"['Chandra Aahe Sakshila', 'Tumchi Mulgi Kay Karte', '2021–2022 • 344 episodios', '2022', '2022']","['Guion', 'Reparto', 'Producción']","['Zee Cine Awards Nom', 'Bollywood Film Journalist Awards Nom', 'Contribuir a esta página ir ']"
32,Puneet Issar,1959,"['Mahabharat', '1988–1990 • 94 episodios', '2011', '1987', '2004']","['Reparto', 'Dirección', 'Guion']","['Indian Television Academy Awards India Nom', 'Contribuir a esta página ir ']"
33,Mrinal Kulkarni,1968,"['Welcome Home', 'Sher Shivraj', 'Sahela Re', 'Prem Mhanje Prem Mhanje Prem Asta']","['Reparto', 'Dirección', 'Guion']","['Star Parivaar Awards Gan', 'Filmfare Awards Marathi Nom', ""Critics' Choice Film Awards India Gan"", 'Contribuir a esta página ir ']"
34,Anna Diop,1988,"['Nosotros', 'Nanny', 'Titanes', '2018–2023 • 42 episodios', 'Nicole Carter']","['Reparto', 'Banda sonora']","['Chicago International Film Festival Gan', 'Gotham Awards Nom', 'San Diego Film Critics Society Awards Gan', 'Black Reel Awards Nom', 'Fangoria Chainsaw Awards Nom']"
35,Michelle Monaghan,1976,"['Adiós pequeña, adiós', 'Pixels', 'Kiss Kiss, Bang Bang', 'Código fuente']","['Reparto', 'Producción']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Critics Choice Awards Nom', 'Golden Globes USA Nom', 'Satellite Awards Nom', 'Razzie Awards Nom']"
36,Morgan Spector,1980,"['La conjura contra América', '2020 • 6 episodios', 'Dante Allen', 'Serie de TV', '6,7']","['Reparto', 'Equipos adicionales', 'Producción']","['Critics Choice Awards Nom', 'Screen Actors Guild Awards Nom', 'Contribuir a esta página ir ']"
37,Leslie Uggams,1943,"['Deadpool', 'Deadpool 2', 'American Fiction', 'Raíces', '1977 • 2 episodios']","['Reparto', 'Banda sonora']","['Daytime Emmy Awards Nom', 'Primetime Emmy Awards Nom', 'Golden Globes USA Nom', 'Image Awards (NAACP) Nom', 'Photoplay Awards Nom']"
