0,1,2,3,4,5
20.0,Blythe Danner,1943,"['Meet the Parents', 'The Last Kiss', 'Paul', ""I'll See You in My Dreams""]","['Actress', 'Soundtrack']","['Academy of Science Fiction Fantasy & Horror Films USA Win', 'Blockbuster Entertainment Awards Nom', 'CableACE Awards Nom', 'Primetime Emmy Awards Win', 'Environmental Media Awards USA Win']"
21.0,Ed Begley Jr.,1949,"['A Mighty Wind', 'Pineapple Express', 'Whatever Works', 'Best in Show']","['Actor', 'Producer', 'Director']","['Primetime Emmy Awards Nom', 'Environmental Media Awards USA Nom', 'Florida Film Critics Circle Awards Win', 'Golden Globes USA Nom', 'Screen Actors Guild Awards Nom']"
22.0,Oliver Jackson-Cohen,1986,"['The Invisible Man', 'Faster', 'Going the Distance', ""What's Your Number?""]",['Actor'],"['British Independent Film Awards Nom', 'Austin Film Critics Association Nom', 'Online Film & Television Association Nom', 'International Online Cinema Awards (INOCA) Nom', 'Australian Academy of Cinema and Television Arts (AACTA) Awards Nom']"
23.0,Heather Burns,1975,"['Two Weeks Notice', 'Miss Congeniality', ""You've Got Mail"", ""What's Your Number?""]","['Actress', 'Writer', 'Soundtrack']","['Phoenix Film Festival Win', 'Gold Derby Awards Nom']"
24.0,Eliza Coupe,1981,"['Happy Endings', '2011–2020 • 58 eps', 'TigerTy-Anne', 'TV Series', '7.5']","['Actress', 'Writer', 'Producer']","['International Online Cinema Awards (INOCA) Nom', 'Gold Derby Awards Nom']"
25.0,Kate Simses,1979,"[""What's Your Number?"", 'Confessions of a Shopaholic', 'That Awkward Moment', 'Return to Sleepaway Camp', '2008']","['Actress', 'Producer', 'Additional Crew']",[]
26.0,Tika Sumpter,1980,"['Southside with You', 'Sonic the Hedgehog', 'The Old Man & The Gun', 'Ride Along']","['Actress', 'Producer', 'Director']","['Gotham Awards Nom', 'Image Awards (NAACP) Nom', 'Indiana Film Journalists Association US Nom', ""Women's Image Network Awards Nom"", 'Chicago Independent Film Critics Circle Awards Win']"
27.0,Owen Wilson,1968,"['The Royal Tenenbaums', 'Bottle Rocket', 'Wedding Crashers', 'Starsky & Hutch']","['Actor', 'Producer', 'Writer']","['Academy Awards USA Nom', 'Blockbuster Entertainment Awards Nom', 'Boston Society of Film Critics Awards Nom', 'BAFTA Awards Nom', 'Critics Choice Awards Nom']"
28.0,Jason Sudeikis,1975,"['Ted Lasso', '2020–2023 • 34 eps', '2013', '2016', '2011']","['Actor', 'Writer', 'Producer']","['American Comedy Awards USA Nom', 'Critics Choice Awards Win', 'Primetime Emmy Awards Nom', 'Golden Globes USA Nom', 'Satellite Awards Nom']"
29.0,Jenna Fischer,1974,"['The Office', '2005–2013 • 188 eps', '2012', '2007', '2006']","['Actress', 'Producer', 'Writer']","['Primetime Emmy Awards Nom', 'Monte-Carlo TV Festival Nom', 'Screen Actors Guild Awards Nom', 'St. Louis International Film Festival Win', 'Teen Choice Awards Nom']"
30.0,Christina Applegate,1971,"[""Don't Tell Mom the Babysitter's Dead"", 'Bad Moms', 'Married with Children', '1987–1997 • 259 eps', '2002']","['Actress', 'Producer', 'Soundtrack']","['Critics Choice Awards Nom', 'Primetime Emmy Awards Nom', 'Ft. Lauderdale International Film Festival Win', 'Golden Globes USA Nom', 'Satellite Awards Nom']"
