,0,1,2,3,4,5,6,7
0,"5,5",9%,Paul Weitz,Greg Glienna,"El patriarca familiar Jack Byrnes quiere nombrar un sucesor. ¿Tiene su yerno, el enfermero Greg Focker, lo que se necesita?","Comedia
Romance",1h 38min,Ahora los padres son ellos
1,"5,5",9%,Paul Weitz,Greg Glienna,"El patriarca familiar Jack Byrnes quiere nombrar un sucesor. ¿Tiene su yerno, el enfermero Greg Focker, lo que se necesita?","Comedia
Romance",1h 38min,Ahora los padres son ellos
2,"5,1",34%,Erik White,Abdul Williams,Kevin Carson is a young man living in the projects who has to survive a three-day weekend after his opportunistic neighbors find out he's holding a winning lottery ticket worth $370 million.,Comedia,1h 39min,Lottery ticket
3,"7,3",73%,Tom McGrath,Alan Schoolcraft,"El supervillano Megamind finalmente derrota a su némesis: el superhéroe Metro Man. Pero sin un héroe, pierde todo propósito y debe dar un nuevo sentido a su vida.","Animación
Acción
Aventura",1h 35min,Megamind
