,0,1,2,3,4,5,6,7
0,"6,0",,Ilker Çatak,Finn-Ole HeinrichGabriele Simon,"Janik and Samuel are very close. After high school, they plan to go to Turkey in search of Samuel's father, whose name they only know. However, shortly before their departure, Janik makes a mistake that calls everything into question.",Drama,1h 29min,Stambul Garden
1,"5,7",,Claudia Sainte-Luce,Claudia Sainte-Luce,"""Sol's path"" - A woman struggles to find her kidnapped son in Mexico City.",Drama,1h 18min,El camino de Sol
2,"7,0",,Fred Cavayé,Fred Cavayé,"París 1942. François Mercier aspira formar una familia con la mujer que ama, Blanche. Labora para el Sr. Haffmann, talentoso joyero. Con la ocupación alemana, los dos hombres hacen un pacto cuyas consecuencias, alterarán sus destinos.",Drama,1h 55min,"Adiós, señor Haffmann"
3,"7,6",,Rakib Erick,Rakib Erick,"After years of estrangement, a daughter finally attempts to reconnect with her father.",Corto,12min,Boshack
4,"8,4",,Joffre Faria Silva,Joffre Faria Silva,"Bullied at school because of his father's sexuality, Beckett takes matters into his own hands.",Corto,19min,Being Brave
5,"5,8",,Abhishek Prasad,Abhishek Prasad,This comedy short film is story is based in Ballia in Eastern UP. It humorously depicts the unbalanced nature of our society and the deep rooted old stereotypes which we fit as per our convenience in Today world. Humourous take on the status divide between Bihar vs UP and how it affects the common life of a mafiosi family. The role that media plays in today's world an... Leer todo,"Comedia
Drama",1h,Bhasadbaaz
6,"5,2",,Anjani Pandey,Anjani Pandey,"Una historia extraordinaria de un joven gurú financiero, Randy, que sufre toda una vida de angustias, solo para descubrir la forma más pura de amor en su único compañero verdadero, su perro Koko.","Comedia
Drama
Romance",1h 40min,Koko
7,"4,2",,Marianna Palka,Todd M. Friedman,"Un padre afligido se enfrenta al mundo sombrío y manipulador del cobro de deudas de alto riesgo, mientras lucha por liberarse de las tragedias de su pasado. Se encontrará enfrentado a su mejor amigo, su prodigio y su amor.","Crimen
Drama
Suspense",1h 27min,El cobrador
8,"6,4",,Clara Roquet,Clara Roquet,"Los Vidal pasan las vacaciones con la abuela Ángela, que sufre Alzheimer. Por primera vez, Nora siente que no encuentra su lugar. Pero todo cambia con la llegada de Libertad, la hija de Rosana, que cuida a Ángela.",Drama,1h 44min,Libertad
9,"5,4",,Fiona Gelsomina Ziegler,Fiona Gelsomina Ziegler,"Evzen is in his late thirties and has neither a family of his own nor a secure income. Instead, he has established an underground music club in Prague, the city his father originally came from.",Comedia,1h 15min,Lost in Paradise
10,"6,5",,Lisa Bierwirth,Hannes HeldLisa Bierwirth,"In Frankfurt's Bahnhofsviertel, two people meet whose lives could hardly be more different. Monika is in her mid-forties and belongs to the city's cultural scene as a curator.",Drama,2h 5min,Le Prince
11,"5,9",,Mauricio Eça,Ilana Casoy,"Un vistazo a la verdadera trama psicológica que rodea a los asesinatos de Manfred y Marísia von Richthofen, orquestados por su propia hija, Suzane, junto con su novio y cuñado, los hermanos Cravinhos.","Crimen
Drama
Suspense",1h 25min,La chica que mató a sus padres
12,"7,9",,David Skato,David Skato,"As a boy copes with his difficult home life and his parents' failing marriage, a mysterious girl suddenly appears. Faith, family, and a special kind of magic come together as his new friend teaches them all about love, forgiveness, and healing.","Drama
Fantasía",1h 25min,Once Upon a Lifetime
13,"7,4",,Hemant Dhome,Hemant Dhome,Kabir the only male member of his family finds difficult to deal with females in his house.He starts Sunflower tours and the very first trip is with seven different aged group females where he has to deal with their differences.,"Comedia
Drama",2h 10min,Jhimma
14,"6,7",,Lane Michael Stanley,Lane Michael Stanley,"Amy is sent unwillingly to a recovery house by her mom, where she meets Hal, a recently incarcerated heroin addict. This film explores the everyday struggles, joys, and horrors of getting clean.",Drama,1h 32min,Addict Named Hal
15,"7,9",,Robert Mychal Patrick Butler,Robert Mychal Patrick Butler,"The coming age story of a 16 year old quirky black teen. The film follows him as he goes through high school. He deals with various issues like love, death, bullies, and social awkwardness.",Drama,1h 25min,Life Ain't Like the Movies
16,"6,2",,Alejandro Andújar,Alejandro Andújar,"A peasant woman marries a mysterious white man to ""improve her race"", but finds herself unable to get pregnant.",Drama,1h 43min,El Blanco
17,"7,0",,Ángeles Cruz,Ángeles Cruz,"Chabela, Maria and Toña, live in a Mixtecan town, where they have to confront their own sexuality.",Drama,1h 31min,Nudo mixteco
18,"4,5",,David Verbeek,David Verbeek,"Un grupo de jóvenes ricos y mimados se convierten en vampiros después de una noche de fiesta, cambiando el curso de sus vidas y abriendo una brecha entre todos ellos.","Drama
Terror
Suspense",1h 38min,Dead & Beautiful
19,"7,1",,Leena Pendharkar,Leena Pendharkar,"Rakhi Singh, a poised businesswoman, struggles to care for her Alzhiemer's stricken mother, amid mounting family tensions.",Corto,12min,Awaken
20,"7,7",,DK Welchman,Wladyslaw Stanislaw Reymont,Adaptación de una novela ganadora del Premio Nobel sobre una campesina polaca de finales del siglo XIX que causa estragos al casarse con un hombre mayor y rico.,"Animación
Drama
Historia",1h 54min,En nombre de la tierra
21,"8,1",,Vinod Pande,Vanshika GuptaRohan JadhavAnand Mishra,"Lakhpat, an undertaker for unclaimed bodies, is followed by a dead woman's young son of 6-7 years old to the cremation ground. The boy turns up at his door again at night, demanding bread to eat. Lakhpat yields and even entreats him to stay the night. Though no emotions are overtly exchanged between the two, a bond is formed.",Drama,1h 39min,Undertaker
22,"7,6",,Zarko Banduka,Ana BandukaJasminka Markovic,,Comedia,1h,Moras biti ziv da bi umro
23,"6,6",,Aleksey Fedorchenko,Aleksey FedorchenkoLidia Kanashova,"A stark experiment by director A. Fedorchenko and a new form of cinema, which takes the spectator into the recollections of the protagonist, along corridors of memory and through key events of Russian history from the Silver Age to WWII.",Biografía,1h 30min,La última Bulgaria querida
24,"5,8",,Karthik Subbaraj,Nick Bain,Un gángster nómada se ve atrapado entre el bien y el mal en una lucha por un lugar al que llamar hogar.,"Acción
Crimen
Drama",2h 38min,Un mundo complicado
25,"6,8",,Alex Ranarivelo,Sean Patrick Flanery,"Mickey Kelley, uno de los primeros cinturones negros estadounidenses en jiu-jitsu brasileño, se aleja de todo lo que ama y entra en un torneo de MMA no autorizado.","Acción
Drama
Deporte",1h 52min,Nacido campeón
26,"8,3",,Mat Johns,Mat Johns,"Rabia and Maddie, a pupil and teacher, form a friendship under the unlikeliest of circumstances.","Corto
Drama",18min,Inertia
27,"7,5",,David Fowler,David Fowler,"When strange phenomena starts happening in a small town, two colleagues are called into action to investigate.",Comedia,1h 17min,Paranormal Investigators
28,"4,4",,Thomas Bangert,Thomas Bangert,"Desperate to get her life back to normal after a surprisingly uncommon medical diagnosis, Ashley Jones is forced to examine what ""normalcy"" really means in a world of mistaken identities, very old, old friends, and poisoned meatballs.","Comedia
Drama",1h 22min,Ashley Jones Is Perfectly Normal
29,"7,1",,Maysoon Pachachi,Irada Al-Jubori,"Set in 2006 against the backdrop of intense sectarian war, Our River...Our Sky follows the stories of a small Baghdad community trying to find some semblance of normality and hope despite unpredictable violence, turmoil, and loss.","Drama
Bélico",1h 57min,Our River...Our Sky
30,"7,3",,Alexander Kossev,Valentina Angelova,"Grieving due to injustice in school, betrayed by her closest people, 17 year-old Petya commits suicide. This happens to the talented poetess Petya Dubarova in 1979. This also happens in 2019 to a regular girl, also named Petya. Different times, different girl, the System which does not tolerate different ones remains the same.",Drama,1h 30min,Petya na moyata Petya
31,"8,4",,Madonne Ashwin,Madonne Ashwin,La vida del barbero de un pueblo cambia radicalmente cuando se convierte en el voto decisivo en las elecciones locales.,"Comedia
Drama",2h 20min,Mandela
32,"5,9",,Legend,Legend,"We're in the midst of a revolution. With protests and uprisings taking place all over the world in the name of justice, we find ourselves in a time where the world is finally ready to hear the voice of the inner city. Asbury Park echoes that voice, revealing a tale of injustice through the eyes of four inner-city youths. They dream of making it out of the hood, but in... Leer todo",Drama,1h 57min,Asbury Park
33,"6,8",,Will Sharpe,Simon Stephenson,"Un retrato del prolífico artista inglés Louis Wain, que alcanzó la fama a finales del siglo XIX.","Biografía
Drama
Historia",1h 51min,Mr. Wain
34,"4,3",,James Clayton,Cooper Bibaud,"Tras robar millones en efectivo del escondite de drogas del sádico jefe mafioso Temple, un ladrón encuentra un pasajero de polizón en su coche.",Acción,1h 36min,Persecución mortal
35,"6,4",,Pandiraj,M Chandramouli,"A lawyer turns judge jury and executioner and goes after a gang, led by a minister's son, that threatens women with videos of them.","Acción
Crimen
Drama",2h 31min,Etharkkum Thunindhavan
36,"5,6",,Prem,Vijay Eshwar,"Amar, a bright young boy, falls in love with Anitha, but when she rejects his advances, Amar turns into a different person with dim prospects. Produced by Rakshitha Prem, it is touted to be a musical love story.","Acción
Musical
Romance",2h 31min,Ek Love Ya
37,"3,8",,Razneesh Ghai,Chintan Gandhi,"Agent Agni, a highly trained and deadly field agent is entrusted with the mission to gather Intel and eliminate Rudraveer, an international human and arms trafficker who has been off the radar for ten years.","Acción
Suspense",2h 15min,Dhaakad
38,"6,1",,H. Vinoth,H. Vinoth,"Arjun, un oficial de IPS, se embarca en una misión para cazar motociclistas ilegales involucrados en robos y asesinatos.","Acción
Crimen
Suspense",2h 58min,Valimai
39,"5,6",,Alessandro Baccini,Alessandro Baccini,"Mark is an intelligent lawyer and Martial Artist who becomes a Martial Art Champion. Mark is introduced to a Masonic Organization where he fights for a lot of money against criminals who want to win for their freedom. Mark uses his winnings to help associations that deal with poor children in the world, in which his girlfriend Aurora is also a part of. During the figh... Leer todo",Acción,1h 43min,The Last Fighter
40,"6,3",,Thu Pa Saravanan,Thu Pa Saravanan,A normal man from a middle-class family questioning the authorities for abusing their powers.,"Acción
Suspense",2h 46min,Veerame Vaagai Soodum
41,"6,9",,Manu Anand,Divyanka,"Irfan, an innocent man with an ordinary life, is portrayed as the evil incarnated by media trials. Is there a journey back to normal life for a man accused of terrorism? Is there more to Irfan than what meets the eye?","Acción
Suspense",2h 36min,FIR
42,"4,6",,Tibor Takács,Michael Paré,Un asesino semiretirado y un agente de la DEA se cruzan en misiones distintas para detener a una organización que ha construido una peligrosa máquina que amenaza con atacar la red eléctrica y provocar una catástrofe mundial.,"Acción
Suspense",1h 34min,Disparar a matar
43,"6,8",,Sukhminder Dhanjal,Sukhminder Dhanjal,Nishana is an action packed drama story about two unemployed young boys from different villages who are frustrated from life. They come to a railway track for committing suicide. On railway track they becomes friends but unfortunately being arrested by police before committing suicide. Police officers want to put their names in few unsolved crime cases. Both boys get ... Leer todo,"Acción
Comedia
Drama",2h 27min,Nishana
44,"7,8",,Morgan O'Callaghan,Jonny Brookes,"After the events of The Arsonist (2020), Detective Constable Price (George Everett-Button) and Detective Inspector Newman (Toby Haycock) team up to defend the city from corruption.","Acción
Comedia
Crimen",1h 15min,Detective Inspector
45,"4,6",,John Stephen Baltazar,Evyn George,"Un jefe de policía contrata a un amigo, que es espía internacional, para que le ayude a buscar a un sospechoso buscado en Filipinas. Cuando el jefe muere, todas las pruebas apuntan hacia el espía, y éste debe defenderse.",Acción,1h 20min,Outsource
46,"6,7",,Shinsuke Sato,Yasuhisa HaraTsutomu Kuroiwa,"Un joven que sueña con convertirse en general, y Ying Zheng, cuyo objetivo es la unificación.",Acción,2h 14min,Kingdom 2: To Distant Lands
47,"3,3",,Asif Akbar,Koji Steven Sakai,Un agente de la DEA con trastorno de estrés postraumático regresa a casa luego de una misión fallida. Ahora debe proteger a su familia de un ex convicto y sus secuaces liberados hace poco que buscan millones escondidos dentro de su casa.,"Acción
Suspense",1h 33min,El comando
48,"5,5",,Ante Novakovic,Kyle Travis Sharp,"After being discharged from the military, Sgt. Barnes finds his way back into society via a charismatic politician with a covert plan to eliminate an underground criminal element.",Acción,1h 50min,Sanctioning Evil
49,"4,8",,Randall Emmett,Adam Taylor Barker,Un adicto a los opiáceos en recuperación busca vengarse de los traficantes responsables de vender las drogas que resultaron en la muerte de su prometida.,"Acción
Suspense",1h 41min,El río de la ira
50,"5,2",,Ramesh Varma,Ramesh Varma,A murder suspect escapes police custody due to criminologist Priya's misjudgment of her case for the thesis. Priya along with Arjun solves the mystery around the murder and money laundering which lead to the murder.,"Acción
Crimen
Suspense",2h 34min,Khiladi
51,"6,3",,Mo Zhang,Yu ChenYimou Zhang,"La historia del francotirador Zhang Taofang, un joven recluta del ejército que a los 22 años bate un récord durante la Guerra de Corea al matar o herir a 214 soldados estadounidenses con 435 disparos en sólo 32 días.",Acción,1h 36min,Sharpshooter
52,"4,8",,Millicent Shelton,Christopher J. Moore,"Durante un desgarrador viaje, una madre viuda lucha para proteger a su familia cuando un asesinato y una bolsa de dinero que ha desaparecido ponen sus vidas en peligro.","Acción
Crimen
Drama",1h 29min,Final de trayecto
53,"8,8",,Goutham Kanade,Goutham Kanade,Modern science takes a leap as Indian R&AW agents try to tackle a criminal mastermind who wreaks havoc across the country.,Acción,1h 56min,Stabiliti
54,"2,8",,David Gere,David Gere,"Un grupo de jóvenes adultos pasan el fin de semana en la casa de un amigo junto al lago, ignorantes del regreso del terrorífico acosador enmascarado.","Acción
Terror",1h 29min,Damon's Revenge
55,"4,4",,Sophia Banks,Jinder Ho,"Un grupo de oficiales con base en un laberinto secreto debe luchar por su vida contra Hatchet, un brillante e infame prisionero. Cuando escapa, su misteriosa y mortal agenda tiene consecuencias terribles y de largo alcance.","Acción
Suspense",1h 33min,Zona prohibida
56,"8,1",,Aakash Gupta,Shyam BharteeyNeeta Gupta,"Narayan Gurjar (Gajendra Chauhan) is a very cultured self respecting rural youth, Due to crop failure in the village he has to work as a security supervisor in a factory. Narayan Gurjar has to go to get his 5 year old son Ravi (Master Naitik) admitted in the school, on the same day after getting admission he takes his son along with him and reaches the factory's offic... Leer todo",Acción,2h 19min,Sher Gujjar
57,"5,1",,Christopher Borrelli,Christopher Borrelli,"Después de dejar una vida de crimen y violencia, Ray es un buen tipo reformado que disfruta de una tranquila vida familiar en los suburbios.","Acción
Suspense",1h 36min,Corre y dispara
58,"2,4",,Thomas J. Churchill,Thomas J. Churchill,"Una explosión química en una base militar desencadena un desastre. El Sargento Dash intenta mantener la paz en la estación de policía local, mientras la explosión desata una lluvia ácida tóxica.","Acción
Terror",1h 25min,Amityville Uprising
59,"5,4",,Billy Chaser,Billy Chaser,"Billy and Jay, friends since kids and now beat down with life, go on an adventure to track down Billy's original NES gaming system in order to play it one more time.",Comedia,1h 41min,The Game Chasers Movie
60,"4,6",,Bennet De Brabandere,Bennet De Brabandere,A lone man with the Christmas Spirit trapped in his head must kidnap a teenage girl in order to save Christmas.,Comedia,1h 25min,The Christmas Spirit
61,"4,9",,Elizabeth Allen Rosenbaum,Mindy Stern,Un toque moderno de Cenicienta ambientado en la cultura Sneaker de la ciudad de Nueva York.,"Comedia
Familiar
Musical",1h 52min,Sneakerella: Cenicienta en zapatillas
