,0,1,2,3,4,5,6,7
0,"6,8",,Scott Buchanan,Dale BuchananScott Buchanan,"As Los Angeles grew to a population of over 5 million, crime was getting out of control. Budget cuts, low recruitment, and a rash of abuse lawsuits, left the LAPD unable to cope with the rising crime rate. In 2006 the city council passed proposition PSO357 authorizing PSO's (Private Security Officers) to handle all misdemeanor, infraction, and truancy cases. These are... Leer todo",Acción,1h 24min,Private Security Officer: Los Angeles
1,"4,8",,Guy J. Louthan,Guy J. LouthanNeil Monaghan,"Made In Romania"" is the comedic story of a young producer who risks everything to try and break into more artistic productions. A financier agrees to finance the project but only if the production is filmed entirely in Romania.",Comedia,1h 35min,Made in Romania
2,"8,0",,Patrick Franklin,Patrick FranklinRobert J. Wagstaff,"A fledgling filmmaker returns to his hometown to make a documentary about flowers and their significance at the major stages of human life. Obsessed with capturing reality, he is none too pleased when a sudden zombie uprising threatens his artistic vision. Unwilling to compromise, he resolves to shoot around the walking dead as if nothing unusual is actually happening... Leer todo",Comedia,1h 27min,Pushin' Up Daisies
3,"4,8",,Alfonso Arau,Giovanna CucinottaFrancesco CostaMaria Grazia Cucinotta,"1905, the cinematograph has reached Southern Italy, and casts fear among the people to whom it seems a devilish trick. They call it ""o 'imbroglie din t'o lenzuolo"" - ""The Trick in the Sheet"", as white sheets were used for screening.",Comedia,1h 45min,La trampa de la luz
4,"6,8",,Scott Buchanan,Dale BuchananScott Buchanan,"As Los Angeles grew to a population of over 5 million, crime was getting out of control. Budget cuts, low recruitment, and a rash of abuse lawsuits, left the LAPD unable to cope with the rising crime rate. In 2006 the city council passed proposition PSO357 authorizing PSO's (Private Security Officers) to handle all misdemeanor, infraction, and truancy cases. These are... Leer todo",Acción,1h 24min,Private Security Officer: Los Angeles
5,"4,8",,Guy J. Louthan,Guy J. LouthanNeil Monaghan,"Made In Romania"" is the comedic story of a young producer who risks everything to try and break into more artistic productions. A financier agrees to finance the project but only if the production is filmed entirely in Romania.",Comedia,1h 35min,Made in Romania
6,"8,0",,Patrick Franklin,Patrick FranklinRobert J. Wagstaff,"A fledgling filmmaker returns to his hometown to make a documentary about flowers and their significance at the major stages of human life. Obsessed with capturing reality, he is none too pleased when a sudden zombie uprising threatens his artistic vision. Unwilling to compromise, he resolves to shoot around the walking dead as if nothing unusual is actually happening... Leer todo",Comedia,1h 27min,Pushin' Up Daisies
7,"4,8",,Alfonso Arau,Giovanna CucinottaFrancesco CostaMaria Grazia Cucinotta,"1905, the cinematograph has reached Southern Italy, and casts fear among the people to whom it seems a devilish trick. They call it ""o 'imbroglie din t'o lenzuolo"" - ""The Trick in the Sheet"", as white sheets were used for screening.",Comedia,1h 45min,La trampa de la luz
8,"5,4",,Jim Fitzpatrick,Jim Fitzpatrick,A group of kids take down a motorcycle gang.,Acción,1h 23min,Adventure Scouts
9,"6,7",,Ágnes Kocsis,Ágnes KocsisAndrea Roberti,"Una enfermera obesa y solitaria, que trabaja en la sala de terminales de un hospital, se acuerda de su amiga de la infancia Adrienn Pal y quiere localizarla.",Drama,2h 16min,Pál Adrienn
