,0,1,2,3,4,5,6,7
26,7.8,,Frankie J. Mosca,Frankie J. MoscaSal DeLuciaAnde Cira,"Awakening from a near fatal overdose, Chris embraces a second chance at life. Required to enroll into a 12-Step Program, and mandated to state psychiatrist appointments, Chris is forced to revisit his chaotic past; a history that revolves around his friend Ande and her autistic brother Frankie. Follow Chris as his past and present converge revealing a deranged cocktai... Read all",Comedy,1h 39m,This Wretched Life
27,5.3,,Michael Pollak,Scott BruffeyMichael Pollak,"A powerful film that examines the ""progress"" of our present day culture through the eyes of the oppressor.",Short,26m,Death of a Nation
28,5.8,,Jerome Elston Scott,Jerome Elston Scott,"Nick Anderson, Kevin Daniels, and Tracey Green do everything together. They are the best of friends, and yet they couldn't be more different. Neighbors from adolescence, they finish each other's thoughts and sentences, joys and pains, happiness and tears. Using Nick's house as their own members only clubhouse, they escape into their own world of contentment. Yet the i... Read all","Comedy
Drama
Romance",1h 38m,Anderson's Cross
29,6.6,,Carsten Brandt,Carsten Brandt,An original story about a broken desperate film director.,Drama,4h 40m,Den milde smerte
30,4.3,,Nikita Mikhalkov,Nikita MikhalkovVladimir MoiseenkoAleksandr Novototskiy-Vlasov,"A look at the horrors of the Eastern Front of World War II from the points of view of repressed soldier of penal battalion and his young daughter, who stayed behind enemy lines.",Drama,3h 1m,Utomlennye solntsem 2
31,4.8,,Dwight H. Little,Alan B. McElroy,Jin Kazama witnesses the death of his mother Jun by Tekken in the slums known as Anvil. After finding a Tekken ID he decides to seek out vengeance for his mother's death.,"Action
Crime
Drama",1h 31m,Tekken
32,4.4,,Robin Christian,Robin Christian,"A distraught college student finds a phone that enables her to talk to her deceased mother in the past. Instead of a heart attack, she learns that her mother was murdered. She tries to use the phone to stop the murder from occurring before the killer finds and kills her too.",Drama,1h 52m,Disconnect
33,4.0,,Satish Kaushik,Shiraz Ahmed,"Hoping that destiny will re-unite them, a couple, on the verge of getting married, attempt to locate each other.","Drama
Romance",1h 49m,Milenge Milenge
34,6.5,,Daniel Grou,Patrick Senécal,"A doctor seeks revenge by kidnapping, torturing and killing the man who raped and murdered his young daughter.","Crime
Drama
Horror",1h 45m,7 Days
35,6.0,,Enrique Gabriel,Enrique GabrielLucia Lipschutz,Closely observed relationships: how the 2008 financial crisis affects the personal lives of various individuals who develop different surviving strategies when thrown together in a caravan site on outskirts of Madrid.,Drama,1h 55m,Vidas pequeñas
36,6.0,,Cory Cataldo,Cory Cataldo,"Will is a misfit who can't catch a break: he's terrorized by his psychotic father at home and taunted by his peers at school. His only solace comes from three classmates who face similar abuse. Without guidance or a sense of purpose, the four friends spend their days getting high and commiserating until they reach a breaking point. With nothing to lose and no escape f... Read all",Drama,1h 38m,Mad World
37,6.5,,Laura Casabe,Laura CasabeTomas Wortley,"In a popular auction that matches the sinister and colorful of a circus of phenomena, a couple adopts children in exchange for their belongings. The children there acquired, usually mutilated, are in their new home in order to prepare for access to the Peronist education program taught in only 10 state institutes.",Comedy,1h 25m,El hada buena - Una fábula peronista
38,7.1,,Miguel Coyula,Miguel CoyulaEdmundo Desnoes,"An intellectual leaves the Cuban revolution and 'underdevelopment' behind only to find himself at odds with the ambiguities of his new life in the 'developed' world. A portrait of alienation, of an outsider with no clear-cut politics or ideology. A stranger in a strange land struggling with old age, sexual desire and ultimately the impossibility for the individual to ... Read all",Drama,1h 53m,Memorias del desarrollo
39,4.7,,Bob Meyer,Randy Buescher,"Drunkboat tells the story of a young teenager, Abe, who manipulates his unsuspecting alcoholic uncle (Malkovich) into buying a boat from a conman (Goodman).",Drama,1h 38m,Drunkboat
40,3.3,,Erik de Castro,Erico BeduschiHeber TrigueiroErik de Castro,"A dangerous drug lord operates in Brasilia, the federal capital of Brazil. To capture him, the police will do whatever is necessary. Caught in the middle is a frightened population. ""Federals"" exposes the reality of a country that today is an important route for international drug-trafficking.",Drama,1h 31m,Federal
41,7.8,,Ron Althoff,Ron AlthoffMichael Su,"When a San Francisco detective goes hunting for the cruel Asian crime figure who killed his partner, he finds himself thrown into the center of a violent plot to steal a terrorist weapon. Ty Nelson is a detective haunted by the violent death of his partner at the hands of Choy Muk, the leader of the Triad Dragons-- a violent, fanatical Asian gang operating in San Fran... Read all",Action,1h 30m,Taken by Force
42,3.8,,Nestor Miranda,Nestor Miranda,Friends from Queens decide to move into a run down Harlem brownstone ultimately converting it into an illegal youth hostel in order to make ends meet.,"Comedy
Drama",1h 21m,Harlem Hostel
43,7.5,,Alejandro Alcondez,Alejandro Alcondez,"Death itself is not traumatic rather the life that dies inside of you while you remain with breath this is the life of Pablo Pastor. Corrupt and deceitful people have stolen a precious stone known by the indigenous tribe as the Cielito Lindo, which is believed to bring much needed rain back to the desert-like village of the Tahuromara Tribe. Pablo is forced to abandon... Read all",Drama,1h 31m,Cielito lindo
44,6.6,,Sky Christopherson,Sky Christopherson,"Freediver Max Avery (Justin Flint Williford) journeys to his inner-most depths as he pursues competitive freediving as a relief from a chronic lung disease. Yet his passion for the extreme sport is widening a rift between him and his father (Mark Brunetti), a physician, who hears his son's risky descents will cost him his life. As Max trains for one last world record ... Read all","Drama
Sport",1h,The Greater Meaning of Water
45,6.6,,Takeshi Kobayashi,Chika KanShunji Iwai,Four boys have their friendship and musical talents tested in the ever changing worlds of the music industry and real life in 1990s Japan.,Drama,1h 59m,Bandeiji
46,7.0,,Rudy Luna,Rudy Luna,"Primemates is a disturbing and honest conversation among four men in an exclusive cigar shop. They talk about love, relationships, and sex. While exploring men's fascination with younger women, Primemates delves into many political taboos usually associated with the intellectual.",Comedy,1h 22m,PrimeMates
47,6.5,,José Farinha,Maria José MorgadoJosé VegarVicente Alves do Ó,,Crime,1h 25m,O Inimigo Sem Rosto
48,3.9,,Ryan Combs,Ryan Combs,A young drug dealer sells his soul to the devil in order to become the #1 seller on the block.,"Drama
Fantasy
Thriller",1h 23m,King of the Avenue
49,7.5,,Sylvain Chomet,Sylvain Chomet,"A French illusionist finds himself out of work and travels to Scotland, where he meets a young woman. Their ensuing adventure changes both their lives forever.","Animation
Drama
Fantasy",1h 20m,The Illusionist
50,6.2,,Víctor González,Huili RaffoVíctor González,A well-intentioned novice priest tries to stay out of two older clerics' criminal scheme. Until money and a girl come into play.,Drama,2h 3m,The Chosen Heaven
51,7.4,,Justin Chadwick,Ann Peacock,The story of an 84 year-old Kenyan villager and ex Mau Mau veteran who fights for his right to go to school for the first time to get the education he could never afford.,"Biography
Drama
Romance",1h 43m,The First Grader
52,6.3,,Elias Goday,Elias GodaySara LimHenry Thomas,An almost fatal injury gives a young man his challenge of a lifetime.,Biography,1h 59m,Ironmen
53,6.7,,Nicole Mosleh,Nicole Mosleh,"Claire and Robert spend most of their time in a house they own in the beautiful and remote countryside in Italy. Their life seems to be perfect. But when Claire's sister gets murdered in the very same house, the traumatic event shakes up their relationship. Disappointment, fear and resentment they swept under the rug for years, resurface. Revealing the dark side of a ... Read all",Drama,1h 23m,Nemesis
54,7.1,,Anna Boden,Anna Boden,A clinically-depressed teenager gets a new start after he checks himself into an adult psychiatric ward.,"Comedy
Drama
Romance",1h 41m,It's Kind of a Funny Story
55,5.7,,Ajay Naidu,Heather Burns,"Ashes is the story of a young Indo-American man who struggles in the inner city of New York to support himself and his mentally ill older brother. When a group of small time Indian gangsters offer Ashes an easy road to wealth, he pursues them with vigor. With his brother's health on the decline and Ashes on a steady path towards hardcore crime, Ashes must try to choos... Read all","Crime
Drama",1h 17m,Ashes
