,0,1,2,3,4
20,Jeannie Berlin,1949,"['El rompecorazones', 'Los Fabelman', 'Margaret', 'Puro vicio']","['Reparto', 'Guion', 'Dirección']","['Academy Awards USA Nom', 'Boston Society of Film Critics Awards Nom', 'Golden Globes USA Nom', 'National Society of Film Critics Awards USA Nom', 'New York Film Critics Circle Awards Gan']"
21,Jean Reno,1948,"['El profesional (Léon)', 'El gran azul', 'Ronin', 'La pantera rosa']",['Reparto'],"['César Awards France Nom', 'European Film Awards Gan', 'Giffoni Film Festival Gan', 'Screen Actors Guild Awards Nom', 'Gold Derby Awards Nom']"
22,Sarah Steele,1988,"['Cosas que hacer antes de los 18', 'Spanglish', 'Encuentros en Nueva York', 'The Good Fight', '2017–2022 • 58 episodios']","['Reparto', 'Arte', 'Cámara y electricidad']","['Gotham Awards Nom', 'Film Independent Spirit Awards Gan', 'Young Artist Awards Nom', 'Phoenix Film Critics Society Awards Gan', 'GALECA: The Society of LGBTQ Entertainment Critics Nom']"
23,John Gallagher Jr.,1984,"['Calle Cloverfield 10', 'Las vidas de Grace', 'Hush (Silencio)', 'Matar o morir. Peppermint']","['Reparto', 'Producción', 'Banda sonora']","['Fright Meter Awards Nom', 'CinEuphoria Awards Nom', 'Online Film & Television Association Nom', 'Contribuir a esta página ir ']"
24,Allison Janney,1959,"['Criadas y señoras', 'Juno', 'Las horas', 'Hairspray']","['Reparto', 'Producción', 'Música']","['Academy Awards USA Gan', 'Boston Society of Film Critics Awards Nom', 'BAFTA Awards Gan', 'Critics Choice Awards Nom', 'Chicago Film Critics Association Awards Nom']"
25,Kieran Culkin,1982,"['Succession', '2018–2023 • 39 episodios', '2002', '2010', '1999']",['Reparto'],"['Critics Choice Awards Gan', 'Primetime Emmy Awards Gan', 'Golden Globes USA Gan', 'Satellite Awards Gan', 'Las Vegas Film Critics Society Awards Gan']"
26,Tom Hanks,1956,"['Náufrago', 'Big', 'Forrest Gump', 'Philadelphia']","['Producción', 'Reparto', 'Guion']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'American Comedy Awards USA Nom', 'American Film Institute USA Gan', 'Annie Awards Nom']"
27,Taylor Schilling,1984,"['Cuando te encuentre', 'Orange Is the New Black', '2013–2019 • 91 episodios', '2012', '2018']",['Reparto'],"['Primetime Emmy Awards Nom', 'Golden Globes USA Nom', 'Satellite Awards Gan', 'Hollywood Film Awards Gan', ""People's Choice Awards USA Nom""]"
28,Edi Gathegi,1979,"['StartUp', '2016–2018 • 30 episodios', '2019', 'Dev Ayesa', '2025']","['Reparto', 'Producción', 'Dirección']","['Columbus International Film & Video Festival Gan', 'Gotham Awards Gan', 'Method Fest Gan', 'Teen Choice Awards Nom', 'Black Reel Awards Nom']"
29,Jsu Garcia,1963,"['Pesadilla en Elm Street', 'La rebelión de Atlas: 1ª parte', 'Daño colateral', 'Cuando éramos soldados']","['Reparto', 'Producción', 'Dirección']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Contribuir a esta página ir ']"
30,Jon Polito,1950,"['El cuervo', 'Muerte entre las flores', 'La gran nada', 'Los inmortales']",['Reparto'],"['Cinequest San Jose Film Festival Gan', 'Hollywood Reel Independent Film Festival Gan', 'Seattle Film Festival Nom', 'Contribuir a esta página ir ']"
31,Patrick Fischler,1969,"['Mad Men', '2008 • 4 episodios', 'Smoothie', 'Dan', 'Película de TV']","['Reparto', 'Producción', 'Guion']","['AFI Fest Gan', 'Sun Valley Film Festival US Gan', 'Online Film & Television Association Gan', 'Gold Derby Awards Nom']"
32,Michael Lerner,1941,"['Barton Fink', 'Godzilla', 'Elf', 'X-Men: Días del futuro pasado']",['Reparto'],"['Academy Awards USA Nom', 'Chicago Film Critics Association Awards Nom', 'Gotham Awards Nom', 'Los Angeles Film Critics Association Awards Gan', 'Accolade Competition Gan']"
33,Richard Tyson,1961,"['Poli de guardería', 'Pánico a las tres', 'Black Hawk derribado', 'Encrucijada de pasiones']","['Reparto', 'Producción', 'Dirección']","['Great Lakes Film Festival Nom', 'LA Femme International Film Festival Gan', 'Top Indie Film Awards Nom', 'Around International Film Festival Nom', 'Sunny Side Up Film Festival Gan']"
34,Robert LaSardo,1963,"['Mula', 'Death Race: La carrera de la muerte', 'Nip/Tuck, a golpe de bisturí', '2003–2010 • 10 episodios', 'Memmo Fierro']","['Reparto', 'Producción', 'Guion']","['Accolade Competition Gan', 'Hollywood Blood Horror Festival Gan', 'DRUK International Film Festival Nom', 'Vegas Movie Awards Gan', 'Black Swan International Film Festival Gan']"
35,Brooke Lewis Bellas,1975,"['iMurders', 'Sinatra Club', '1/2 New Year', 'Mafiosa', '2006–2007 • 3 episodios']","['Reparto', 'Producción', 'Guion']","['B-Movie Film Festival Gan', 'Bare Bones International Film & Music Festival Gan', 'New York International Independent Film & Video Festival Gan', 'Accolade Competition Gan', 'Action on Film International Film Festival USA Nom']"
