,0,1,2,3,4
0,2000,American Beauty,S. Mendes(American Beauty),K. Spacey(American Beauty),H. Swank(Boys don't cry)
1,2001,Gladiator,S. Soderbergh(Traffic),R. Crowe(Gladiator),J. Roberts(Erin Brockovich)
2,2002,A Beautiful Mind,R. Howard(A Beautiful Mind),D. Washington(Training Day),H. Berry(Monster's Ball)
3,2003,Chicago,R. Polanski(The Pianist),A. Brody(The Pianist),N. Kidman(The Hours)
4,2004,The Lord of the Rings: The Return of the King,P. Jackson(The Lord of the Rings: The Return of the King),S. Penn(Mystic River),C. Theron(Monster)
5,2005,Million Dollar Baby,C. Eastwood(Million Dollar Baby),J. Foxx(Ray),H. Swank(Million Dollar Baby)
6,2006,Crash,A. Lee(Brokeback Mountain),P. S. Hoffman(Capote),R. Witherspoon(Walk the Line)
7,2007,The Departed,M. Scorsese(The Departed),F. Whitaker(The Last King of Scotland),H. Mirren(The Queen)
8,2008,No Country for Old Men,J. Coen E. Coen(No Country for Old Men),D. Day-Lewis(There Will Be Blood),M. Cotillard(La Môme)
9,2009,Slumdog Millionaire,D. Boyle(Slumdog Millionaire),S. Penn(Milk),K. Winslet(The Reader)
10,2010,The Hurt Locker,K. Bigelow(The Hurt Locker),J. Bridges(Crazy Heart),S. Bullock(The Blind Side)
11,2011,The King's Speech,T. Hooper(The King's Speech),C. Firth(The King's Speech),N. Portman(Black Swan)
12,2012,The Artist,M. Hazanavicius(The Artist),J. Dujardin(The Artist),M. Streep(The Iron Lady)
13,2013,Argo,A. Lee(Life of Pi),D. Day-Lewis(Lincoln),J. Lawrence(Silver Linings Playbook)
14,2014,12 Years a Slave,A. Cuarón(Gravity),M. McConaughey(Dallas Buyers Club),C. Blanchett(Blue Jasmine)
15,2015,Birdman or (The Unexpected Virtue of Ignorance),A. G. Iñárritu(Birdman or (The Unexpected Virtue of Ignorance)),E. Redmayne(The Theory Of Everything),J.Moore(Still Alice)
16,2016,Spotlight,A. G. Iñárritu(The Revenant),L. DiCaprio(The Revenant),B. Larson(Room)
17,2017,Moonlight,D. Chazelle(La La Land),C. Affleck(Manchester by the Sea),E. Stone(La La Land)
18,2018,The Shape of Water,G. del Toro(The Shape of Water),G. Oldman(Darkest Hour),"F. McDormand(Three Billboards Outside Ebbing, Missouri)"
19,2019,Green Book,A. Cuarón(Roma),R. Malek(Bohemian Rhapsody),O. Colman(La favorita)
20,2020,Parasite,Bong J.(Parasite),J. Phoenix(Joker),R. Zellweger(Judy)
21,2021,Nomadland,C. Zhao(Nomadland),A. Hopkins(The Father),F. McDormand(Nomadland)
22,2022,CODA,J. Campion(The Power of the Dog),W. Smith(King Richard),J. Chastain(The Eyes of Tammy Faye)
23,2023,Everything Everywhere All at Once,D. Kwan D. Scheinert(Everything Everywhere All at Once),B. Fraser(The Whale),M. Yeoh(Everything Everywhere All at Once)
24,2024,Oppenheimer,C. Nolan(Oppenheimer),C. Murphy(Oppenheimer),E. Stone(Poor Things)
