,0,1,2,3,4
24,Tina Fey,1970,"['Date Night', 'Mean Girls', '30 Rock', '2006–2013 • 138 eps', '2015']","['Writer', 'Actress', 'Producer']","['Critics Choice Awards Nom', 'Casting Society of America USA Win', 'Primetime Emmy Awards Nom', 'Golden Globes USA Nom', 'Satellite Awards Nom']"
25,Jonah Hill,1983,"['21 Jump Street', '22 Jump Street', 'The Wolf of Wall Street', 'Moneyball']","['Actor', 'Producer', 'Writer']","['Academy Awards USA Nom', 'American Comedy Awards USA Nom', 'Art Film Festival Nom', 'Berlin International Film Festival Nom', 'BAFTA Awards Nom']"
26,David Cross,1964,"['Arrested Development', '2003–2019 • 84 eps', '2004', '2010', '2011']","['Actor', 'Writer', 'Producer']","['CableACE Awards Win', 'Primetime Emmy Awards Nom', 'Satellite Awards Nom', 'Grammy Awards Nom', 'Phoenix Film Festival Win']"
27,Ben Stiller,1965,"['Tropic Thunder', 'Zoolander', 'Zoolander 2', 'The Secret Life of Walter Mitty']","['Producer', 'Actor', 'Director']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'American Comedy Awards USA Win', 'Blockbuster Entertainment Awards Nom', 'Directors Guild of America USA Nom', 'Primetime Emmy Awards Nom']"
28,Justin Theroux,1971,"['Mulholland Drive', 'Your Highness', 'American Psycho', 'The Girl on the Train']","['Actor', 'Producer', 'Writer']","['Critics Choice Awards Nom', 'Primetime Emmy Awards Nom', ""People's Choice Awards USA Nom"", 'Screen Actors Guild Awards Nom', 'Critics Choice Television Awards Nom']"
29,Tom McGrath,1964,"['Madagascar', 'Madagascar: Escape 2 Africa', 'Penguins of Madagascar', ""Madagascar 3: Europe's Most Wanted""]","['Director', 'Writer', 'Actor']","['Academy Awards USA Nom', 'Annie Awards Nom', 'Daytime Emmy Awards Nom', 'MovieGuide Awards Win', 'Golden Eagle Awards Russia Nom']"
30,Liam Neeson,1952,"['Kinsey', ""Schindler's List"", 'The Grey', 'The A-Team']","['Actor', 'Producer', 'Soundtrack']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Blockbuster Entertainment Awards Nom', 'BAFTA Awards Nom', 'British Independent Film Awards Win']"
31,Bradley Cooper,1975,"['A Star Is Born', 'Silver Linings Playbook', 'American Sniper', 'American Hustle']","['Actor', 'Producer', 'Director']","['Academy Awards USA Nom', 'Bodil Awards Nom', 'BAFTA Awards Nom', 'Critics Choice Awards Nom', 'Camerimage Nom']"
32,Jessica Biel,1982,"['The Illusionist', 'Total Recall', 'Next', 'The Texas Chainsaw Massacre']","['Actress', 'Producer', 'Director']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Critics Choice Awards Nom', 'Primetime Emmy Awards Nom', 'Golden Globes USA Nom', 'Satellite Awards Nom']"
33,Sharlto Copley,1973,"['District 9', 'Chappie', 'Hardcore Henry', 'The A-Team']","['Actor', 'Producer', 'Director']","['Chicago Film Critics Association Awards Nom', 'MTV Movie + TV Awards Nom', 'Online Film Critics Society Awards Nom', 'Teen Choice Awards Nom', 'Empire Awards UK Nom']"
34,Patrick Wilson,1973,"['The Phantom of the Opera', 'Hard Candy', 'Insidious', 'Watchmen']","['Actor', 'Producer', 'Director']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Sitges - Catalonian International Film Festival Win', 'Primetime Emmy Awards Nom', 'Golden Globes USA Nom', 'Satellite Awards Nom']"
35,Gerald McRaney,1947,"['Focus', 'The A-Team', 'Simon & Simon', '1981–1989 • 156 eps', '1984']","['Actor', 'Producer', 'Director']","['Primetime Emmy Awards Nom', 'Screen Actors Guild Awards Nom', 'MovieGuide Awards Nom', 'Online Film & Television Association Nom', 'International Online Cinema Awards (INOCA) Nom']"
36,Henry Czerny,1959,"['Mission: Impossible', 'Clear and Present Danger', 'The Pink Panther', 'Ready or Not']",['Actor'],"['Boston Society of Film Critics Awards Nom', 'Gemini Awards Win', 'Canadian Screen Awards CA Nom', 'Online Film & Television Association Nom', 'Blood in the Snow Canadian Film Festival Nom']"
37,Brian Bloom,1970,"['The A-Team', 'Call of Duty: Modern Warfare', '2019', ""William 'B.J.' Blazkowicz(voice)"", 'Young Patsy']","['Actor', 'Writer', 'Producer']","['Daytime Emmy Awards Nom', 'Young Artist Awards Nom', 'Behind the Voice Actors Awards Nom', 'NAVGTR Awards Nom']"
38,Jake Gyllenhaal,1980,"['Nightcrawler', 'Brokeback Mountain', 'Prisoners', 'Donnie Darko']","['Actor', 'Producer', 'Camera and Electrical Department']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'BAFTA Awards Nom', 'Critics Choice Awards Nom', 'Chicago Film Critics Association Awards Nom']"
39,Gemma Arterton,1986,"['Prince of Persia: The Sands of Time', 'Byzantium', 'The Girl with All the Gifts', 'Clash of the Titans']","['Actress', 'Producer', 'Soundtrack']","['BAFTA Awards Nom', 'British Independent Film Awards Nom', 'Broadcasting Press Guild Awards Nom', 'Teen Choice Awards Nom', 'Empire Awards UK Win']"
40,Ben Kingsley,1943,"['Sexy Beast', 'Gandhi', ""Schindler's List"", 'Iron Man 3']","['Actor', 'Producer', 'Additional Crew']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Annie Awards Win', 'Bambi Awards Win', 'Boston Society of Film Critics Awards Win']"
41,Alfred Molina,1953,"['Spider-Man 2', 'Frida', 'Boogie Nights', 'Magnolia']","['Actor', 'Producer', 'Director']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'ALMA Awards Nom', 'BAFTA Awards Nom', 'British Independent Film Awards Nom', 'Critics Choice Awards Nom']"
42,Steve Toussaint,1965,"['House of the Dragon', '2022–2024 • 14 eps', '2010', 'Kane', 'TV Mini Series']","['Actor', 'Writer']",['Pena de Prata Nom']
43,Toby Kebbell,1982,"['Dawn of the Planet of the Apes', 'Fantastic Four', 'RocknRolla', 'Warcraft: The Beginning']",['Actor'],"['BAFTA Awards Nom', 'British Independent Film Awards Win', 'London Critics Circle Film Awards Nom', 'Empire Awards UK Nom', 'CinEuphoria Awards Win']"
44,Ronald Pickup,1940,"['The Best Exotic Marigold Hotel', 'Prince of Persia: The Sands of Time', 'Darkest Hour', 'The Mission']","['Actor', 'Soundtrack']","['BAFTA Awards Nom', 'Screen Actors Guild Awards Nom', 'Los Angeles Movie Awards US Win']"
45,Gísli Örn Garðarsson,1973,"['The Oath', 'Prince of Persia: The Sands of Time', 'Beowulf: Return to the Shieldlands', '2016 • 13 eps', 'Ásbjörn']","['Actor', 'Writer', 'Producer']","['Berlin International Film Festival Win', 'Edda Awards Iceland Nom', 'Nordic Council Nom']"
46,Denzel Washington,1954,"['Fences', 'The Book of Eli', 'Training Day', 'Antwone Fisher']","['Actor', 'Producer', 'Director']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Acapulco Black Film Festival Nom', 'American Society of Cinematographers USA Win', 'Berlin International Film Festival Win']"
47,Chris Pine,1980,"['Star Trek', 'Wonder Woman', 'Star Trek Beyond', 'Star Trek Into Darkness']","['Actor', 'Producer', 'Writer']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Boston Society of Film Critics Awards Win', 'Primetime Emmy Awards Nom', 'Family Film Awards Nom', 'Satellite Awards Nom']"
48,Rosario Dawson,1979,"['Rent', 'The Lego Batman Movie', 'Sin City', 'Unstoppable']","['Actress', 'Producer', 'Director']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'ALMA Awards Win', 'BET Awards Nom', 'Critics Choice Awards Nom', 'Family Film Awards Nom']"
